Severity,Record Type,Source Document,Page,Organization,Date,OCR Original,LLM Resolution,Suggested Problem
High — OCR/legibility,work,UDC20260028-13.pdf,12,Melbourne Liedertafel,1889,Serenade J.^.^tah,title: Serenade | composer: J.^.^tah,Composer garbled; unclear reading
High — OCR/legibility,work,UDC20260028-13.pdf,12,Melbourne Liedertafel,1889,Song u l'Estasi ” Ertiti,title: Song u l'Estasi | composer: Ertiti,Composer garbled; unclear reading (possibly 'Tosti'?)
High — OCR/legibility,work,UDC20260028-13.pdf,14,Melbourne Liedertafel,1889,"Sono “®eòouin Move Song"" Æoombs","title: Sono “®eòouin Move Song"" | composer: Æoombs",Best-guess: 'Bedouin Love Song' by 'Coombs' (uncertain)
High — OCR/legibility,venue,UDC20260028-13.pdf,20,Melbourne Liedertafel,1889,"yoWN JÎALL, 
MELBOURNE","place: yoWN JÎALL, MELBOURNE",OCR likely 'Town Hall' and diacritics garbled — kept as printed
High — OCR/legibility,venue,UDC20260028-15.pdf,3,Melbourne Liedertafel,1889,"TOWN MALL, MELBOURNE","place: TOWN MALL, MELBOURNE","Likely reads 'Town Hall, Melbourne' (OCR error); kept as printed"
High — OCR/legibility,performer,UDC20260028-15.pdf,3,Melbourne Liedertafel,1889,CONDUCTOR: yVl-R. jIULIUS ^ERZ,name: yVl-R. jIULIUS ^ERZ | part_or_instrument: conductor,Name badly garbled; likely 'Mr. Julius Herz' (OCR); kept as printed
High — OCR/legibility,organization,UDC20260028-15.pdf,4,Melbourne Liedertafel,1889,Selected Choir of Boys Yoices,name: Selected Choir of Boys Yoices | role: choir,'Yoices' is likely 'Voices' (OCR); kept as printed
High — OCR/legibility,organization,UDC20260028-15.pdf,4,Melbourne Liedertafel,1889,Yicto rian Orchestra,name: Yicto rian Orchestra | role: orchestra,Likely 'Victorian Orchestra' (OCR); kept as printed
High — OCR/legibility,performer,UDC20260028-15.pdf,4,Melbourne Liedertafel,1889,"PPbr. G. e. Fentum, Hon. Pianist","name: PPbr. G. e. Fentum, Hon. Pianist | part_or_instrument: pianist",OCR garbling of initials/case; same person as Mr. G. B. FENTUM
High — OCR/legibility,performer,UDC20260028-15.pdf,4,Melbourne Liedertafel,1889,PRiss Florence FRen^-FReyer,name: PRiss Florence FRen^-FReyer,Name badly garbled; likely refers to Miss Florence Menk-Meyer (OCR); instrument not stated here
High — OCR/legibility,performer,UDC20260028-15.pdf,4,Melbourne Liedertafel,1889,FPr. 0. H. Gee,name: FPr. 0. H. Gee | part_or_instrument: vocal soloist,Initials garbled; likely 'Mr. A. H. Gee' (OCR)
High — OCR/legibility,work,UDC20260028-15.pdf,7,Melbourne Liedertafel,1889,"Cantata “ibaralô’s Bridal Vogage""
Feinrich Bofmann","title: Cantata “ibaralô’s Bridal Vogage"" | composer: Feinrich Bofmann",Composer likely 'Heinrich Hofmann' (OCR); kept as printed; Title likely 'Harald’s Bridal Voyage' (OCR); kept as printed
High — OCR/legibility,work,UDC20260028-15.pdf,11,Melbourne Liedertafel,1889,pianoforte Solo 1 Concerto in E Flat Major eethoben,title: Concerto in E Flat Major | composer: eethoben,Composer likely 'Beethoven' (OCR); kept as printed
High — OCR/legibility,work,UDC20260028-15.pdf,12,Melbourne Liedertafel,1889,"Song ""W'Estasi” Erditi","title: Song ""W'Estasi” | composer: Erditi",Composer name may be mis-read (OCR); kept as printed
High — OCR/legibility,organization,UDC20260028-15.pdf,13,Melbourne Liedertafel,1889,"Boys’ Choir, Victorian Orchestra
and  Liedertatel",name: Liedertatel | role: choir,Likely 'Liedertafel' (OCR); kept as printed
High — OCR/legibility,work,UDC20260028-15.pdf,13,Melbourne Liedertafel,1889,"Selections from “Xa Damnation de Faust""
Berlioz","title: Selections from “Xa Damnation de Faust"" | composer: Berlioz",Title likely 'La Damnation de Faust' (OCR); kept as printed
High — OCR/legibility,work,UDC20260028-15.pdf,14,Melbourne Liedertafel,1889,"Song ""Gedouin Uove Song ” Coombs","title: Song ""Gedouin Uove Song ” | composer: Coombs",Title appears garbled (OCR); kept as printed
High — OCR/legibility,work,UDC20260028-15.pdf,14,Melbourne Liedertafel,1889,Part Song “ ffarewell” ^«^ι,title: Part Song “ ffarewell”,Composer not given on program page; Title likely 'Farewell' (OCR); kept as printed
High — OCR/legibility,work,UDC20260028-15.pdf,15,Melbourne Liedertafel,1889,"Vocal Walts “ ®lue Danube” (By request) 
(ARRANGED BY ELSASSER) Strauss",title: Vocal Walts “ ®lue Danube” (By request) (ARRANGED BY ELSASSER) | composer: Strauss,'Walts' and '®lue' likely OCR for 'Waltz' and 'Blue' (kept as printed)
High — OCR/legibility,venue,UDC20260028-15.pdf,20,Melbourne Liedertafel,1889,"yoWN JÌALE, 
ylELBOURNE","place: yoWN JÌALE, 
ylELBOURNE","Likely 'Town Hall, Melbourne' (OCR garbling); kept as printed"
High — OCR/legibility,organization,UDC20260028-16.pdf,1,Madang Amateur Theatrical Society,Unknown,"Presented  By  
Che  Madang  Dramatic  Society",name: Che  Madang  Dramatic  Society | role: presenting organization,OCR likely misread 'Che' for 'The'; best-guess correction: 'The Madang Dramatic Society'
High — OCR/legibility,performer,UDC20260028-16.pdf,1,Madang Amateur Theatrical Society,Unknown,Miss  Rosemary  Sutton  *,name: Miss  Rosemary  Sutton  * | part_or_instrument: actor | associated_work: Only  An  Orphan  Girl,Role standardized to 'actor' from 'cast' wording.; Asterisk appears in OCR; retained as printed.; Associated work title appears on page 6; cross-page inference.
High — OCR/legibility,work,UDC20260028-17.pdf,2,Melbourne Liedertafel,1899,“May Morning” ...................................Disiin,title: May Morning | composer: Disiin,Best guess: composer is likely 'Dibdin' (OCR garble).
High — OCR/legibility,work,UDC20260028-17.pdf,2,Melbourne Liedertafel,1899,"Violoncello  Soli ((Λ) “Berceuse” ..
.. César Ctii",title: Berceuse | composer: César Ctii,Best guess: 'César Cui' (OCR garble).
High — OCR/legibility,work,UDC20260028-17.pdf,2,Melbourne Liedertafel,1899,"”)(Λ) “Tarantella” ....
.. Fiatti",title: Tarantella | composer: Fiatti,Best guess: 'Piatti' (OCR garble).
High — OCR/legibility,venue,UDC20260028-17.pdf,3,Melbourne Liedertafel,1899,"Gown Eoli, Melbourne","place: Gown Eoli, Melbourne","Likely intended 'Town Hall, Melbourne' (OCR garble)."
High — OCR/legibility,date,UDC20260028-17.pdf,3,Melbourne Liedertafel,1899,"jHonday Evening, 201Ç jl2a^, 1899","date_text: jHonday Evening, 201Ç jl2a^, 1899","Best guess: 'Monday Evening, 20th May, 1899' (OCR garble)."
High — OCR/legibility,organization,UDC20260028-17.pdf,3,Melbourne Liedertafel,1899,"Tie ΐ^ογαΐ
ÎXIeiropolifû^ Liede^iafel",name: Tie ΐ^ογαΐ ÎXIeiropolifû^ Liede^iafel | role: presenting organization,Best guess: 'The Royal Metropolitan Liedertafel' (OCR garble).
High — OCR/legibility,organization,UDC20260028-17.pdf,4,Melbourne Liedertafel,1899,Ube IRogal ilbetropolitan Liedertatel,name: Ube IRogal ilbetropolitan Liedertatel | role: presenting organization,Best guess: 'The Royal Metropolitan Liedertafel' (OCR garble).
High — OCR/legibility,performer,UDC20260028-17.pdf,6,Melbourne Liedertafel,1899,"Mr. 6. Κ Fenlum,
Gong j^iaitisi",name: Mr. 6. Κ Fenlum | part_or_instrument: accompanist,"Best guess: 'Mr. G. B. Fentum, Song Pianist' (OCR garble). Assumed same person as p.4."
High — OCR/legibility,performer,UDC20260028-17.pdf,6,Melbourne Liedertafel,1899,Herr Louis Gaffenbach,name: Herr Louis Gaffenbach | part_or_instrument: cello,Best guess: 'Herr Louis Hattenbach' (OCR garble). Instrument inferred from other pages.
High — OCR/legibility,performer,UDC20260028-17.pdf,6,Melbourne Liedertafel,1899,"(122r. T. J. Wsgaff, ^r. J}. J. Lolleff,
Mr. J. G. Drake, r. 6. Kofe)",name: 122r. T. J. Wsgaff | part_or_instrument: vocalist,Best guesses: 'Mr. T. J. Wiggall?'; 'Mr. J. J. Lofley?'; 'Mr. G. Rofe?' (OCR garble). Members of S. Paul’s Cathedral Quartet Party.
High — OCR/legibility,performer,UDC20260028-17.pdf,6,Melbourne Liedertafel,1899,"(122r. T. J. Wsgaff, ^r. J}. J. Lolleff,
Mr. J. G. Drake, r. 6. Kofe)",name: ^r. J}. J. Lolleff | part_or_instrument: vocalist,Best guess: 'Mr. J. J. Lofley?' (OCR garble). Member of S. Paul’s Cathedral Quartet Party.
High — OCR/legibility,performer,UDC20260028-17.pdf,6,Melbourne Liedertafel,1899,r. 6. Kofe),name: r. 6. Kofe | part_or_instrument: vocalist,Best guess: 'Mr. G. Rofe?' (OCR garble). Member of S. Paul’s Cathedral Quartet Party.
High — OCR/legibility,work,UDC20260028-17.pdf,10,Melbourne Liedertafel,1899,Vocal Quartets - (b) always /lore Seifert,title: always /lore | composer: Seifert,Title garbled; best guess could be 'Always More' or similar.
High — OCR/legibility,performer,UDC20260028-17.pdf,15,Melbourne Liedertafel,1899,"Song—S Summer Right GORING-THOMAS
Miss Minnie Waugh",name: Miss Minnie Waugh | part_or_instrument: vocalist | associated_work: A Summer Night,Best guess: 'A Summer Night' (OCR garble).
High — OCR/legibility,work,UDC20260028-17.pdf,16,Melbourne Liedertafel,1899,"(Λ) Sleep, Gentle Xaôp Bishop","title: Sleep, Gentle Xaôp | composer: Bishop","Best guess: title 'Sleep, Gentle Lady' (OCR garble)."
High — OCR/legibility,work,UDC20260028-17.pdf,16,Melbourne Liedertafel,1899,(J) Qnwarò TRoanuno Müller,title: Qnwarò TRoanuno | composer: Müller,Best guess: title 'Onward Roaming' (OCR garble).
High — OCR/legibility,work,UDC20260028-17.pdf,17,Melbourne Liedertafel,1899,IPart Song-21 Capstan Chorus Smart,title: Capstan Chorus | composer: Smart,Best guess: 'A Capstan Chorus' (OCR garble).
High — OCR/legibility,venue,UDC20260028-17.pdf,20,Melbourne Liedertafel,1899,"yOWN HAUL 
/Melbourne",place: yOWN HAUL /Melbourne,"Likely intended 'Town Hall, Melbourne' (OCR garble)."
High — OCR/legibility,venue,UDC20260028-18.pdf,4,Musashinto Academia Musicae,1973-74,"Saturday,  December  8,  1973,  7  p. m.  /Tokyo  Bunka  Haikan",place: Tokyo  Bunka  Haikan,Possible OCR variant of 'Kaikan'
High — OCR/legibility,date,UDC20260028-18.pdf,4,Musashinto Academia Musicae,1973-74,"Saturday,  December  8,  1973,  7  p. m.  /Tokyo  Bunka  Haikan","date_text: Saturday,  December  8,  1973,  7 p. m.",Possible OCR variant of 'Kaikan'
High — OCR/legibility,work,UDC20260028-18.pdf,5,Musashinto Academia Musicae,1973-74,M.  Ravel ...................................................................................................................Jeux  deau,title: Jeux  deau | composer: M.  Ravel,OCR missing apostrophe in 'Jeux d'eau'
High — OCR/legibility,work,UDC20260028-18.pdf,5,Musashinto Academia Musicae,1973-74,"Max  Reger: .........../Phantasie  
und  Fuge  über  ""Wie  schon  leucht ’ uns  der  Morgenstern ”  Op.  40-1,","title: Phantasie  und  Fuge  über  ""Wie  schon  leucht ’ uns  der  Morgenstern ” | composer: Max  Reger | movement_or_selection: Op.  40-1",OCR diacritics
High — OCR/legibility,date,UDC20260028-18.pdf,6,Musashinto Academia Musicae,1973-74,"Wednesday,  May  23,   1973,  4 2  10p.  m./B.  H.","date_text: Wednesday,  May  23,  1973,  4:10 p. m.",Spacing/OCR issues in time
High — OCR/legibility,work,UDC20260028-18.pdf,6,Musashinto Academia Musicae,1973-74,Τ. Mattei  .................................................................................................- .......Non  e  ver,title: Non  e  ver | composer: Τ. Mattei,OCR 'Τ.' may be 'T.'
High — OCR/legibility,work,UDC20260028-18.pdf,6,Musashinto Academia Musicae,1973-74,"J.  S.  Bach ................-.....................................................Prâludium  und  Fuge  Es-dur,",title: Prâludium  und  Fuge | composer: J.  S.  Bach | movement_or_selection: Es-dur,OCR accent in 'Präludium'
High — OCR/legibility,work,UDC20260028-18.pdf,7,Musashinto Academia Musicae,1973-74,C.  Debussy  ...................... ...........................................................................“ Images ”  Π,title: Images | composer: C.  Debussy | movement_or_selection: “  Π,OCR 'Π' likely 'II'
High — OCR/legibility,work,UDC20260028-18.pdf,7,Musashinto Academia Musicae,1973-74,J.  S.  Bach .....................................................Praludium  und  Fuge  C-dur  BWV  547,title: Praludium  und  Fuge | composer: J.  S.  Bach | movement_or_selection: C-dur  BWV  547,OCR 'Praludium'
High — OCR/legibility,work,UDC20260028-18.pdf,7,Musashinto Academia Musicae,1973-74,W.   Stockmeier  ..............................................................................................Sonate  bl,title: Sonate | composer: W.   Stockmeier | movement_or_selection: bl,OCR 'bl' unclear (probably 'b1' or 'B♭')
High — OCR/legibility,work,UDC20260028-18.pdf,7,Musashinto Academia Musicae,1973-74,H.   Dutill  eux  ...................................................................................Sonatine  (Flute),title: Sonatine | composer: H.   Dutill  eux | movement_or_selection: (Flute),OCR spacing in 'Dutilleux'
High — OCR/legibility,work,UDC20260028-18.pdf,8,Musashinto Academia Musicae,1973-74,"G.  Puccini  ...................................Oper  “La  Boheme”  Si,  mi  chiamano  Mimi","title: Oper  “La  Boheme” | composer: G.  Puccini | movement_or_selection: Si,  mi  chiamano  Mimi",OCR 'Boheme' vs 'Bohème'
High — OCR/legibility,work,UDC20260028-18.pdf,8,Musashinto Academia Musicae,1973-74,J.  Haydn  ···   Oratorium“Die  Schopfung”  Nun  beut  die  Flur  das  frische  Grün,title: Oratorium “Die  Schopfung” | composer: J.  Haydn | movement_or_selection: Nun  beut  die  Flur  das  frische  Grün,OCR 'Schopfung'
High — OCR/legibility,work,UDC20260028-18.pdf,8,Musashinto Academia Musicae,1973-74,"G.  Puccini  ......  Oper  “Suor  Angelica”Senza  mamma,  ο  bimbo,  tu  sei  morto","title: Oper  “Suor  Angelica” | composer: G.  Puccini | movement_or_selection: Senza  mamma,  ο  bimbo,  tu  sei  morto",OCR spacing
High — OCR/legibility,work,UDC20260028-18.pdf,8,Musashinto Academia Musicae,1973-74,"W.  Α.  Mozart  ..................Oper  “Le  Nozze  di  Figaro”  Vedro,  mentrio  sospiro","title: Oper  “Le  Nozze  di  Figaro” | composer: W.  Α.  Mozart | movement_or_selection: Vedro,  mentrio  sospiro",OCR 'mentrio'
High — OCR/legibility,work,UDC20260028-18.pdf,8,Musashinto Academia Musicae,1973-74,"P.  Tchaikovsky....................................................................Warum?,  Versohnung","title: Warum?,  Versohnung | composer: P.  Tchaikovsky",German titles by Tchaikovsky unusual; OCR?
High — OCR/legibility,work,UDC20260028-18.pdf,8,Musashinto Academia Musicae,1973-74,M.  J.  Ravel............................    Le  Tombeau  de  Couprin,title: Le  Tombeau  de  Couprin | composer: M.  J.  Ravel,OCR 'Couprin' likely 'Couperin'
High — OCR/legibility,work,UDC20260028-18.pdf,8,Musashinto Academia Musicae,1973-74,"F.  Schubert.....................................................Wanderer  Fantasie  C-dur  I,Π","title: Wanderer  Fantasie | composer: F.  Schubert | movement_or_selection: C-dur  I,Π",OCR 'Π' likely 'II'
High — OCR/legibility,work,UDC20260028-18.pdf,8,Musashinto Academia Musicae,1973-74,S.  Prokofiev............................................................Konzert  Nr.3  C-dur  Ορ.26  I,title: Konzert  Nr.3 | composer: S.  Prokofiev | movement_or_selection: C-dur  Ορ.26  I,OCR 'Ορ.'
High — OCR/legibility,work,UDC20260028-18.pdf,9,Musashinto Academia Musicae,1973-74,"K.  Czerny  ....................................................Konzert  Nr.  4  e-moll  II,  II  (Bass)","title: Konzert  Nr.  4 | composer: K.  Czerny | movement_or_selection: e-moll  II,  II  (Bass)","Movement 'II, II' duplicated; OCR?"
High — OCR/legibility,work,UDC20260028-18.pdf,9,Musashinto Academia Musicae,1973-74,N.  Paganini .............................................Konzert  Nr.1  D-dur  Ορ.6  I  (Violin),title: Konzert  Nr.1 | composer: N.  Paganini | movement_or_selection: D-dur  Ορ.6  I  (Violin),OCR 'Ορ.'
High — OCR/legibility,work,UDC20260028-18.pdf,9,Musashinto Academia Musicae,1973-74,"M.  Bruch .....................................................Schottische  Fantasie  II,  DI  (Violin)","title: Schottische  Fantasie | composer: M.  Bruch | movement_or_selection: II,  DI  (Violin)",OCR 'DI' unclear
High — OCR/legibility,work,UDC20260028-18.pdf,9,Musashinto Academia Musicae,1973-74,Α  ·  Dvofâk  ..............................................................  Konzert  h-moll  I  (Cello),title: Konzert | composer: Α  ·  Dvofâk | movement_or_selection: h-moll  I  (Cello),OCR 'Dvofâk'
High — OCR/legibility,work,UDC20260028-18.pdf,9,Musashinto Academia Musicae,1973-74,"R.  Schumann  ....................................Kreisleriana  Op.16  Nr.I,  II,  V,   MI  (Piano)","title: Kreisleriana | composer: R.  Schumann | movement_or_selection: Op.16  Nr.I,  II,  V,   MI  (Piano)",OCR 'MI' unclear (maybe VII)
High — OCR/legibility,work,UDC20260028-18.pdf,9,Musashinto Academia Musicae,1973-74,"J.  Brahms  ............................................Fantasien  Op.116  Nr.I,  ΠΙ,   IV,  VI  (Piano)","title: Fantasien | composer: J.  Brahms | movement_or_selection: Op.116  Nr.I,  ΠΙ,   IV,  VI  (Piano)",OCR 'ΠΙ' likely 'III'
High — OCR/legibility,work,UDC20260028-18.pdf,10,Musashinto Academia Musicae,1973-74,F.   Mendelssohn  ..................................................................Lift  Thine  Eyes  (Elija),title: Lift  Thine  Eyes | composer: F.   Mendelssohn | movement_or_selection: (Elija),OCR 'Elija' for 'Elijah'
High — OCR/legibility,work,UDC20260028-18.pdf,11,Musashinto Academia Musicae,1973-74,L.  Janâcek...........................................................................................................Im  Nebel,title: Im  Nebel | composer: L.  Janâcek,OCR 'Janâcek'
High — OCR/legibility,work,UDC20260028-18.pdf,11,Musashinto Academia Musicae,1973-74,L.  Janâcek........................................  String  Quartet  No.  2  “Intimate  Pages”,title: String  Quartet  No.  2 | composer: L.  Janâcek | movement_or_selection: “Intimate  Pages”,OCR 'Janâcek'
High — OCR/legibility,work,UDC20260028-18.pdf,12,Musashinto Academia Musicae,1973-74,.  Bach  ..........................................  .......................Engliselie  Suite  VI  BW1  811,title: Engliselie  Suite  VI | composer: .  Bach | movement_or_selection: BW1  811,OCR '. Bach' likely 'J. S. Bach'; OCR 'Engliselie'; OCR 'BW1'
High — OCR/legibility,work,UDC20260028-18.pdf,12,Musashinto Academia Musicae,1973-74,"Wohltemperiertes  Klavier  II
Nr.  5  BWV  874
Nr.9  BWV  878 ^
Nr.20  BWV  889  Z?<",title: Nr.  5 | composer: Wohltemperiertes  Klavier  II | movement_or_selection: BWV  874,OCR artifacts ^ Z? <
High — OCR/legibility,work,UDC20260028-18.pdf,12,Musashinto Academia Musicae,1973-74,"Wohltemperiertes  Klavier  II
Nr.  5  BWV  874
Nr.9  BWV  878 ^
Nr.20  BWV  889  Z?<",title: Nr.9 | composer: Wohltemperiertes  Klavier  II | movement_or_selection: BWV  878,OCR artifacts
High — OCR/legibility,work,UDC20260028-18.pdf,12,Musashinto Academia Musicae,1973-74,"Wohltemperiertes  Klavier  II
Nr.  5  BWV  874
Nr.9  BWV  878 ^
Nr.20  BWV  889  Z?<",title: Nr.20 | composer: Wohltemperiertes  Klavier  II | movement_or_selection: BWV  889,OCR artifacts
High — OCR/legibility,work,UDC20260028-18.pdf,12,Musashinto Academia Musicae,1973-74,Partita  li  BWV  826,title: Partita  li | movement_or_selection: BWV  826,OCR 'li' likely 'II'
High — OCR/legibility,date,UDC20260028-18.pdf,13,Musashinto Academia Musicae,1973-74,"Thursday,  May  17,  1973,  3  .'  10  p.  m./M.  H.","date_text: Thursday,  May  17,  1973,  3:10 p. m.",OCR punctuation/spacing
High — OCR/legibility,work,UDC20260028-18.pdf,13,Musashinto Academia Musicae,1973-74,"L.   Janâcek   ...................................................................................Sonate   “  I.  X,  1905”","title: Sonate | composer: L.   Janâcek | movement_or_selection: “  I.  X,  1905”",OCR 'Janâcek'
High — OCR/legibility,date,UDC20260028-18.pdf,14,Musashinto Academia Musicae,1973-74,"Thuesday,  June  5,  1973,  10  a.  m.  /Setagaya-Kumin-Kaikan","date_text: Tuesday,  June  5,  1973,  10 a. m.",OCR 'Thuesday'
High — OCR/legibility,work,UDC20260028-18.pdf,15,Musashinto Academia Musicae,1973-74,"G.   Puccini/from   ""Turandt""   Signore   ascolta,","title: from   ""Turandt""   Signore   ascolta | composer: G.   Puccini",OCR 'Turandt'
High — OCR/legibility,work,UDC20260028-18.pdf,15,Musashinto Academia Musicae,1973-74,"R.   Wagner/Tràume,",title: Tràume | composer: R.   Wagner,OCR accent
High — OCR/legibility,work,UDC20260028-18.pdf,16,Musashinto Academia Musicae,1973-74,B.  Bartôk   .......................................................................................................Suite   Op.   14,title: Suite | composer: B.  Bartôk | movement_or_selection: Op.   14,OCR accent
High — OCR/legibility,date,UDC20260028-18.pdf,17,Musashinto Academia Musicae,1973-74,"Wednesday,   February   6,   1974,  1110  p.m.","date_text: Wednesday,  February  6,  1974,  1:10 p.m.",OCR time '1110'
High — OCR/legibility,work,UDC20260028-18.pdf,17,Musashinto Academia Musicae,1973-74,M.Marais  ......................................Leo  Foiles  d ’Espagne  pour  flute  seul  (Flute),title: Leo  Foiles  d ’Espagne  pour  flute  seul | composer: M.Marais | movement_or_selection: (Flute),OCR 'Leo Foiles' likely 'Les Folies'
High — OCR/legibility,work,UDC20260028-18.pdf,17,Musashinto Academia Musicae,1973-74,E.  Scheffmann   .....................................................Konzert   stiicke   Op.  67  (Trombone),title: Konzert   stiicke | composer: E.  Scheffmann | movement_or_selection: Op.  67  (Trombone),OCR 'stiicke'
High — OCR/legibility,work,UDC20260028-18.pdf,19,Musashinto Academia Musicae,1973-74,H.  Wolf   ....................................................................................................-............Erist ’s,title: Erist ’s | composer: H.  Wolf,OCR 'Erist ’s' likely 'Er ist's'
High — OCR/legibility,work,UDC20260028-18.pdf,19,Musashinto Academia Musicae,1973-74,W.A.   Mozart   .......................................Quartet   Bflat-major   Κ.   V.   458   1st   mov.,title: Quartet | composer: W.A.   Mozart | movement_or_selection: Bflat-major   Κ.   V.   458   1st   mov.,OCR 'Bflat'
High — OCR/legibility,work,UDC20260028-19.pdf,7,Musashinto Academia Musicae,1975-76,Kazuto  Miyazawa···  Konsonanz  fur  3 Saxophonespieler  order  einen  und  Tonband,title: Konsonanz  fur  3 Saxophonespieler  order  einen  und  Tonband | composer: Kazuto  Miyazawa,OCR appears garbled; likely 'oder einen'; left as printed.
High — OCR/legibility,venue,UDC20260028-19.pdf,8,Musashinto Academia Musicae,1975-76,"Wednesday,  October  15, 1975, 4:10 p.m./M.H.V",place: M.H.V,"Venue abbreviation appears as 'M.H.V', likely variant/garble of 'M.H.' or a specific room; left as printed."
High — OCR/legibility,work,UDC20260028-19.pdf,8,Musashinto Academia Musicae,1975-76,G.Donizetti .......................................................................,title: “La Favorita ”  Spirto  gentil | composer: G.Donizetti,Line truncated before title; see following text for full aria; unrecoverable split.
High — OCR/legibility,work,UDC20260028-19.pdf,8,Musashinto Academia Musicae,1975-76,"C.Debussy ....................................................................................""Préludes  II’ Bruyères","title: ""Préludes  II’  Bruyères | composer: C.Debussy",Punctuation around II/quote appears garbled; left as printed.
High — OCR/legibility,work,UDC20260028-19.pdf,11,Musashinto Academia Musicae,1975-76,G.Donizetti ..................................................“ L’elisir  d ’amore  Una  furtiva  lagrima,title: “ L’elisir  d ’amore | composer: G.Donizetti | movement_or_selection: Una  furtiva  lagrima,Quotation and spacing garbled; treated as aria from the opera.
High — OCR/legibility,work,UDC20260028-19.pdf,13,Musashinto Academia Musicae,1975-76,G.Rossini .......................................................... ...................................Lulti mo  ricordo,title: Lulti  mo  ricordo | composer: G.Rossini,OCR garble in 'Lultimo'; left as printed.
